goos: darwin
goarch: arm64
pkg: github.com/jub0bs/errutil
cpu: Apple M4
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errutil.Find/c=no_match-10                   	   10000	         7.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        76.62 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        81.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        77.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        81.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        82.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        79.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        82.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        79.48 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        81.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errors.As/c=simple_match-10                  	   10000	        77.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        21.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.56 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        23.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        22.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        23.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkAll/impl=errutil.As/c=simple_match-10                 	   10000	        23.55 ns/op	      16 B/op	       1 allocs/op
